Date (Switzerland),Price,Open,High,Low,Change %
2018-10-29,-0.028,-0.035,-0.013,-0.035,-20.00%
2018-10-26,-0.035,-0.006,-0.006,-0.041,"3,400.00%"
2018-10-25,-0.001,-0.011,0.009,-0.013,-66.67%
2018-10-24,-0.003,0.006,0.010,-0.015,-200.00%
2018-10-23,0.003,0.034,0.034,0.001,-91.43%
2018-10-22,0.035,0.025,0.048,0.024,52.17%
2018-10-19,0.023,0.020,0.024,-0.005,9.52%
2018-10-18,0.021,0.044,0.051,0.014,-44.74%
2018-10-17,0.038,0.065,0.065,0.037,-40.63%
2018-10-16,0.064,0.076,0.086,0.064,-14.67%
2018-10-15,0.075,0.073,0.083,0.071,-10.71%
2018-10-12,0.084,0.099,0.108,0.079,-6.67%
2018-10-11,0.090,0.085,0.100,0.071,-15.09%
2018-10-10,0.106,0.105,0.118,0.085,7.07%
2018-10-09,0.099,0.073,0.099,0.073,33.78%
2018-10-08,0.074,0.092,0.092,0.070,-9.76%
2018-10-05,0.082,0.079,0.086,0.070,7.89%
2018-10-04,0.076,0.045,0.084,0.045,105.41%
2018-10-03,0.037,0.037,0.037,0.011,105.56%
2018-10-02,0.018,0.033,0.053,0.002,-58.14%
2018-10-01,0.043,0.041,0.055,0.033,4.88%
2018-09-28,0.041,0.052,0.053,0.015,-35.94%
2018-09-27,0.064,0.056,0.065,0.030,-1.54%
2018-09-26,0.065,0.081,0.081,0.052,-1.52%
2018-09-25,0.066,0.042,0.070,0.039,69.23%
2018-09-24,0.039,0.010,0.039,0.006,387.50%
2018-09-21,0.008,0.020,0.023,0.005,-52.94%
2018-09-20,0.017,0.026,0.038,0.009,-37.04%
2018-09-19,0.027,0.016,0.027,0.009,58.82%
2018-09-18,0.017,-0.002,0.017,-0.015,-950.00%
2018-09-17,-0.002,-0.020,0.003,-0.034,-94.12%
2018-09-16,-0.034,-0.034,-0.034,-0.034,126.67%
2018-09-14,-0.015,-0.040,-0.014,-0.042,-57.14%
2018-09-13,-0.035,-0.044,-0.028,-0.051,-18.60%
2018-09-12,-0.043,-0.031,-0.030,-0.051,53.57%
2018-09-11,-0.028,-0.052,-0.028,-0.052,-46.15%
2018-09-10,-0.052,-0.066,-0.047,-0.076,-20.00%
2018-09-07,-0.065,-0.086,-0.064,-0.089,-18.75%
2018-09-06,-0.080,-0.068,-0.066,-0.090,11.11%
2018-09-05,-0.072,-0.087,-0.063,-0.089,-16.28%
2018-09-04,-0.086,-0.095,-0.059,-0.098,-9.47%
2018-09-03,-0.095,-0.100,-0.094,-0.111,-3.06%
2018-08-31,-0.098,-0.091,-0.091,-0.116,-2.00%
2018-08-30,-0.100,-0.069,-0.066,-0.102,21.95%
2018-08-29,-0.082,-0.084,-0.067,-0.102,-13.68%
2018-08-28,-0.095,-0.077,-0.077,-0.111,-1.04%
2018-08-27,-0.096,-0.106,-0.089,-0.117,-8.57%
2018-08-24,-0.105,-0.097,-0.094,-0.122,0.00%
2018-08-23,-0.105,-0.069,-0.067,-0.123,-11.02%
2018-08-22,-0.118,-0.118,-0.108,-0.130,1.72%
2018-08-21,-0.116,-0.123,-0.112,-0.150,-6.45%
2018-08-20,-0.124,-0.111,-0.107,-0.125,-3.88%
2018-08-17,-0.129,-0.102,-0.099,-0.149,24.04%
2018-08-16,-0.104,-0.128,-0.076,-0.135,-17.46%
2018-08-15,-0.126,-0.097,-0.084,-0.139,32.63%
2018-08-14,-0.095,-0.104,-0.080,-0.104,-8.65%
2018-08-13,-0.104,-0.095,-0.088,-0.116,-1.89%
2018-08-10,-0.106,-0.070,-0.062,-0.106,96.30%
2018-08-09,-0.054,-0.048,-0.043,-0.069,17.39%
2018-08-08,-0.046,-0.026,-0.025,-0.050,58.62%
2018-08-07,-0.029,-0.038,-0.027,-0.047,-29.27%
2018-08-06,-0.041,-0.033,0.009,-0.041,28.12%
2018-08-03,-0.032,-0.011,0.002,-0.041,433.33%
2018-08-02,-0.006,-0.001,0.016,-0.023,20.00%
2018-08-01,-0.005,-0.005,-0.005,-0.005,0.00%
2018-07-31,-0.005,0.003,0.010,-0.035,-225.00%
2018-07-30,0.004,-0.038,0.014,-0.041,-109.76%
2018-07-27,-0.041,-0.034,-0.025,-0.041,-19.61%
2018-07-26,-0.051,-0.056,-0.029,-0.059,-3.77%
2018-07-25,-0.053,-0.044,-0.043,-0.057,23.26%
2018-07-24,-0.043,-0.029,-0.024,-0.052,10.26%
2018-07-23,-0.039,-0.029,-0.009,-0.053,-23.53%
2018-07-20,-0.051,-0.074,-0.045,-0.086,-29.17%
2018-07-19,-0.072,-0.059,-0.055,-0.088,18.03%
2018-07-18,-0.061,-0.035,-0.035,-0.086,69.44%
2018-07-17,-0.036,-0.036,-0.036,-0.084,16.13%
2018-07-16,-0.031,-0.054,-0.031,-0.084,-48.33%
2018-07-13,-0.060,-0.069,-0.060,-0.092,-22.08%
2018-07-12,-0.077,-0.062,-0.060,-0.082,5.48%
